ORDEN;FECHA COMPRA;CANTIDAD;CODIGO;DETALLE;COMPRA;DIVIDIDO
211;01/01/2025;0;779819415517;"779819415517 - GLOBO PARTY TIME LISO 9"" ROJO x50 55172";2574,63;50
212;01/01/2025;0;779819415524;"779819415524 - GLOBO PARTY TIME LISO 9"" NEGRO x50 55240";2574,63;50
213;01/01/2025;0;779819415515;"779819415515 - GLOBO PARTY TIME LISO 9"" NARANJA x50 55158";2574,63;50
214;01/01/2025;0;779819415521;"779819415521 - GLOBO PARTY TIME LISO 9"" LILA CLARO x50 55219";2574,63;50
215;01/01/2025;0;779819415514;"779819415514 - GLOBO PARTY TIME LISO 9"" FUCSIA x50 55141";2574,63;50
216;01/01/2025;0;779819415511;"779819415511 - GLOBO PARTY TIME LISO 9"" CELESTE x50 55110";2574,63;50
217;01/01/2025;0;779819415510;"779819415510 - GLOBO PARTY TIME LISO 9"" BLANCO x50 55103";2574,63;50
218;01/01/2025;0;779819415513;"779819415513 - GLOBO PARTY TIME LISO 9"" AZUL x50 55134";2574,63;50
219;01/01/2025;0;779819415512;"779819415512 - GLOBO PARTY TIME LISO 9"" AMARILLO x50  55127";2574,63;50
220;01/01/2025;0;779819415914;"779819415914 - GLOBO PARTY TIME LISO 12"" MULTICOLOR FLUO x25 59149";2762,32;25
221;23/10/2025;1;779819415454;"77981941545404 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 9 x5 (NO APTO HELIO) 54540";2819,26;5
222;23/10/2025;1;779819415453;"77981941545336 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 8 x5 (NO APTO HELIO) 54533";2819,26;5
223;23/10/2025;1;779819415452;"77981941545268 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 7 x5 (NO APTO HELIO) 54526";2819,26;5
224;23/10/2025;1;779819415447;"77981941544728 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 2 x5 (NO APTO HELIO) 54472";2819,26;5
225;23/10/2025;2;779819415446;"77981941544650 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 1 x5 (NO APTO HELIO) 54465";2819,26;5
226;01/01/2025;0;779819415445;"77981941544582 - GLOBO OVNI METALIZADO 14"" PLATEADO Nº 0 x5 (NO APTO HELIO) 54458";2819,26;5
227;01/01/2025;0;779819415381;"77981941538192 - GLOBO OVNI METALIZADO 14"" DORADO Nº 0 x5 (NO APTO HELIO) 53819";2819,26;5
228;01/01/2025;0;779819415909;"779819415909 - GLOBO MARCO SELFIE PLATA 34"" 86cm OVNI  x1 59095";1409,58;1
229;01/01/2025;0;779819415013;"779819415013 - GLOBO GLOBOX PERLADO 12"" VIOLETA x50";5171,42;50
230;23/10/2025;1;779819415010;"779819415010 - GLOBO GLOBOX PERLADO 12"" ROSA x50";5171,42;50
231;01/01/2025;0;779819415011;"779819415011 - GLOBO GLOBOX PERLADO 12"" ROJO x50";5171,42;50
232;01/01/2025;0;779842097178;"779842097178 - GLOBO GLOBOX PERLADO 12"" PLATINUM x50 71781";5171,42;50
233;01/01/2025;0;779819415009;"779819415009 - GLOBO GLOBOX PERLADO 12"" PLATEADO x50";5171,42;50
234;01/01/2025;0;779819415018;"779819415018 - GLOBO GLOBOX PERLADO 12"" NEGRO x50";5171,42;50
235;01/01/2025;0;779819415008;"779819415008 - GLOBO GLOBOX PERLADO 12"" NARANJA x50";5171,42;50
236;01/01/2025;0;779819415030;"779819415030 - GLOBO GLOBOX PERLADO 12"" MULTICOLOR x50";5171,42;50
237;23/10/2025;1;779819415007;"779819415007 - GLOBO GLOBOX PERLADO 12"" LILA CLARO x50";5171,42;50
238;01/01/2025;0;779819415006;"779819415006 - GLOBO GLOBOX PERLADO 12"" FUCSIA x50";5171,42;50
239;01/01/2025;0;779819415005;"779819415005 - GLOBO GLOBOX PERLADO 12"" DORADO x50";5171,42;50
240;01/01/2025;0;779842097181;"779842097181 - GLOBO GLOBOX PERLADO 12"" CREAM x50  71811";5171,42;50
241;01/01/2025;0;779819415002;"779819415002 - GLOBO GLOBOX PERLADO 12"" CELESTE x50";5171,42;50
242;01/01/2025;0;779819415021;"779819415021 - GLOBO GLOBOX PERLADO 12"" AZUL OSCURO x50";5171,42;50
243;01/01/2025;0;779819415004;"779819415004 - GLOBO GLOBOX PERLADO 12"" AZUL FRANCIA x50";5171,42;50
244;01/01/2025;0;779819415003;"779819415003 - GLOBO GLOBOX PERLADO 12"" AMARILLO x50";5171,42;50
245;01/01/2025;0;779819415022;"779819415022 - GLOBO GLOBOX PERLADO 12"" AGUA MARINA x50";5171,42;50
246;01/01/2025;0;779819415686;"779819415686 - GLOBO GLOBOX PASTEL 12"" ROSA  x50 56865";4895,3;50
247;01/01/2025;0;779819415682;"779819415682 - GLOBO GLOBOX PASTEL 12"" MULTICOLOR x50 56827";4895,3;50
248;01/01/2025;0;779819415033;"779819415033 - GLOBO GLOBOX LISO 12"" VIOLETA x50 50337";4650,54;50
249;01/01/2025;0;609819417400;"609819417400 - GLOBO GLOBOX LISO 12"" VERDE OLIVA x50 74007";4650,54;50
250;01/01/2025;0;779819415037;"779819415037 - GLOBO GLOBOX LISO 12"" VERDE MANZANA x50 50375";4650,54;50
251;01/01/2025;0;779819415041;"779819415041 - GLOBO GLOBOX LISO 12"" NEGRO x50  50412";4650,54;50
252;01/01/2025;0;779819415045;"779819415045 - GLOBO GLOBOX LISO 12"" FUCSIA x50 50450";4650,54;50
253;01/01/2025;0;779819415031;"779819415031 - GLOBO GLOBOX LISO 12"" BLANCO x50 50313";4650,54;50
254;01/01/2025;0;779819415040;"779819415040 - GLOBO GLOBOX LISO 12"" AZUL FRANCIA  x50 50405";4650,54;50
255;01/01/2025;0;779819415038;"779819415038 - GLOBO GLOBOX LISO 12"" AMARILLO x50 50382";4650,54;50
256;01/01/2025;0;779819415366;779819415366 - GLOBO GLOBOX GLOBOLOGIA MULTICOLOR T260 x50 53666;5291,22;50
257;23/10/2025;1;779819415688;"779819415688 - GLOBO DILAX METALIZADO 32"" PLATEADO Nº 8 x5 (APTO HELIO) 56889";4562,29;5
258;23/10/2025;1;779819415649;"779819415649 - GLOBO DILAX METALIZADO 32"" PLATEADO Nº 5 x5 (APTO HELIO) 56490";4562,29;5
259;01/01/2025;0;779819415569;"779819415569 - GLOBO DILAX METALIZADO 32"" PLATEADO Nº 0 x5 (APTO HELIO) 55691";4562,29;5
260;01/01/2025;0;000001100322;000001100322 - GARFIO DE PIRATA STASIOx1 HG0003;1674,68;1
261;01/01/2025;0;000000002609;000000002609 - GALERA PATRIA NIÑO CINTA ARGENTINA x12 (LP07);4340,47;12
262;01/01/2025;0;000030404403;000030404403 - GALERA PATRIA GRANDE CINTA ARGENTINAx12 (LP01);5477,48;12
263;23/10/2025;1;000000053639;000000053639 - GALERA MULTICOLOR CON FLOR ROX x1 art.334;3105;1
